bpm=100.00
5	 1.000	 81	 0	 1	 0	 1	 2
5	 1.000	 0	 81	 0	 1	 0	 2
5	 1.000	 81	 0	 1	 0	 1	 2
5	 1.000	 0	 81	 0	 1	 0	 2
5	 1.000	 2	 0	 1	 0	 1	 2
5	 1.000	 0	 81	 0	 1	 0	 2
5	 1.000	 2	 0	 1	 0	 1	 2
5	 1.000	 0	 81	 0	 1	 0	 2
5	 1.000	 3	 0	 1	 0	 1	 2
5	 1.000	 0	 81	 0	 1	 0	 2
5	 1.000	 3	 0	 1	 0	 1	 2
5	 1.000	 0	 81	 0	 1	 0	 2

4	 0.500	 0	 5	 1	 1	 0	 1
4	 0.500	 1	 5	 1	 0	 1	 1
4	 0.500	 5	 0	 0	 1	 0	 1
4	 0.500	 0	 6	 1	 0	 0	 1
4	 0.500	 6	 5	 0	 0	 1	 1
4	 0.500	 6	 6	 1	 1	 0	 1
